Wavenumber,Denoised
1001.16014,5216.649262020201
1003.59962,5083.222019986858
1006.03828,4929.504947302977
1008.47613,4757.34229501138
1010.91317,4566.976923759339
1013.3494,4374.836318947311
1015.78482,4175.105272958429
1018.21943,3978.9503300489837
1020.65323,3795.206545710967
1023.08622,3617.289797669125
1025.5184,3461.5716565739986
1027.94978,3342.5481791369293
1030.38034,3224.0037902909025
1032.8101,3120.080580140528
1035.23905,3030.1670528146055
1037.66719,2953.822529516143
1040.09452,2883.3246965315084
1042.52105,2824.0795537005188
1044.94677,2791.845282363481
1047.37169,2755.4554846550795
1049.7958,2732.6756343804805
1052.21911,2704.5224801045742
1054.64161,2688.3556091304
1057.06331,2675.1064992905826
1059.4842,2657.4490549329494
1061.90429,2652.281199084634
1064.32358,2635.8547343837513
1066.74207,2630.0773365020905
1069.15975,2623.642816011734
1071.57663,2605.8992446746956
1073.99271,2593.9527001863016
1076.40799,2581.1177801307276
1078.82246,2564.7002023863674
1081.23614,2555.7498085877405
1083.64902,2551.705950353023
1086.06109,2542.4769617423667
1088.47237,2539.123820503399
1090.88285,2530.4901084014055
1093.29253,2527.883549686139
1095.70141,2518.2967693167375
1098.10949,2517.217834194148
1100.51678,2504.507910715888
1102.92327,2503.9732978325924
1105.32896,2499.9069793919257
1107.73385,2493.753678267375
1110.13795,2487.400267868552
1112.54126,2475.590530719157
1114.94376,2469.67463654459
1117.34548,2463.1470099640087
1119.7464,2451.040287368389
1122.14652,2444.7131304870554
1124.54585,2440.8541343576017
1126.94439,2431.447135835209
1129.34213,2420.633137257242
1131.73908,2410.4678894180793
1134.13524,2393.7136613402763
1136.5306,2383.0960720496582
1138.92518,2366.8044103137972
1141.31896,2355.107385815595
1143.71195,2346.190482177152
1146.10415,2337.0713534880374
1148.49556,2326.3078748119997
1150.88618,2323.1793965936276
1153.27602,2318.3347850244877
1155.66506,2315.0646638672465
1158.05331,2309.8144409676065
1160.44077,2303.4071675612645
1162.82745,2292.7641373226243
1165.21334,2291.6372322948378
1167.59844,2287.2907910297185
1169.98275,2282.5723697744065
1172.36628,2276.7280934063124
1174.74902,2265.2731621183098
1177.13098,2259.999379470386
1179.51215,2255.303583592648
1181.89253,2241.336939643645
1184.27213,2230.1312572833967
1186.65094,2230.9299347531582
1189.02897,2228.760738071236
1191.40622,2232.8753204249465
1193.78268,2234.974350879343
1196.15836,2238.2895200751586
1198.53326,2239.5236919025533
1200.90737,2240.9191858875156
1203.28071,2247.505176005201
1205.65326,2237.2355393527005
1208.02503,2229.413680088235
1210.39601,2213.3590781333482
1212.76622,2211.917090235342
1215.13565,2200.090339352701
1217.5043,2192.17700379206
1219.87216,2190.702349496539
1222.23925,2182.136416861691
1224.60556,2175.06993614904
1226.97109,2169.49494181429
1229.33585,2158.8925659104
1231.69982,2155.4408170905244
1234.06302,2157.851481490655
1236.42544,2150.452845485425
1238.78708,2146.710909810368
1241.14795,2139.857157463195
1243.50804,2138.121892474637
1245.86736,2128.0852653775464
1248.2259,2118.6526991042547
1250.58366,2118.0118449460333
1252.94065,2107.093231117985
1255.29687,2106.4189920725457
1257.65231,2094.052704910074
1260.00698,2099.4161393330883
1262.36088,2084.2596014579653
1264.714,2093.3152011506754
1267.06635,2091.667789875749
1269.41793,2089.91989287673
1271.76873,2088.99662495911
1274.11877,2093.808350238613
1276.46803,2096.016171140868
1278.81652,2095.19962970249
1281.16424,2092.9246895717283
1283.51119,2086.6964868061186
1285.85738,2076.2043328342324
1288.20279,2068.7614431938273
1290.54743,2062.1030238345593
1292.89131,2050.757169454043
1295.23441,2046.6793878750957
1297.57675,2048.063992177156
1299.91832,2042.2788339032097
1302.25913,2035.3184578652888
1304.59916,2029.4785920071654
1306.93843,2021.8417572278258
1309.27693,2010.4118896436482
1311.61467,2019.4455224648314
1313.95164,2014.0505527982739
1316.28785,2019.3467589702254
1318.62329,2019.900443828022
1320.95797,2024.8774653481266
1323.29188,2029.906948888499
1325.62503,2029.3005184439096
1327.95742,2037.8322920365865
1330.28904,2043.2004830205685
1332.6199,2051.6551840274333
1334.94999,2060.317563095756
1337.27933,2064.7560074730036
1339.6079,2072.5490927002015
1341.93571,2077.4667336286097
1344.26276,2081.940903546884
1346.58905,2066.258504880653
1348.91458,2057.6193353513954
1351.23935,2056.809073792062
1353.56336,2043.8644943347233
1355.88661,2038.086157423968
1358.2091,2032.2329290846417
1360.53083,2018.211966851886
1362.8518,2007.7361781791176
1365.17202,1997.2473801405429
1367.49147,1982.091006103276
1369.81017,1977.9760581300818
1372.12812,1962.9285524256036
1374.4453,1960.1368725432894
1376.76173,1960.9527961719261
1379.07741,1952.0049163942208
1381.39233,1938.7937168159278
1383.70649,1929.564377754143
1386.0199,1928.1920476691478
